Year,Leading Cause,Sex,Race Ethnicity,Deaths
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,200
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,123
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,5
2011,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,444
2011,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,510
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,39
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,55
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,204
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,184
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,132
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,158
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,8
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,11
2012,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,352
2012,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,507
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,27
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,72
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,184
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,258
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,142
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,168
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,9
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,15
2013,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,437
2013,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,521
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,36
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,95
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,220
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,186
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,145
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,193
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,12
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,14
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,6
2014,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,399
2014,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,515
2008,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",M,Asian and Pacific Islander,14
2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Not Stated/Unknown,8
2007,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,34
2007,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,47
2007,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,246
2007,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,358
2007,Diabetes Mellitus (E10-E14),M,Hispanic,177
2007,Diabetes Mellitus (E10-E14),F,Hispanic,205
2007,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,9
2007,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,11
2007,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,231
2007,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,237
2008,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,47
2008,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,52
2008,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,265
2008,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,380
2008,Diabetes Mellitus (E10-E14),M,Hispanic,191
2008,Diabetes Mellitus (E10-E14),F,Hispanic,228
2008,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,12
2008,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,210
2008,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,246
2009,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,48
2009,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,55
2009,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,285
2009,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,384
2009,Diabetes Mellitus (E10-E14),M,Hispanic,172
2009,Diabetes Mellitus (E10-E14),F,Hispanic,215
2009,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,229
2009,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,290
2010,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,51
2010,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,64
2010,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,279
2010,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,384
2010,Diabetes Mellitus (E10-E14),M,Hispanic,187
2010,Diabetes Mellitus (E10-E14),F,Hispanic,219
2010,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,5
2010,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,7
2010,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,5
2010,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,7
2010,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,258
2010,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,245
2011,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,51
2011,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,60
2011,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,307
2011,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,410
2011,Diabetes Mellitus (E10-E14),F,Hispanic,196
2011,Diabetes Mellitus (E10-E14),M,Hispanic,200
2011,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,6
2011,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,7
2011,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,8
2011,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,14
2011,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,253
2011,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,258
2012,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,57
2012,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,76
2012,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,308
2012,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,409
2012,Diabetes Mellitus (E10-E14),F,Hispanic,200
2012,Diabetes Mellitus (E10-E14),M,Hispanic,194
2012,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,15
2012,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,8
2012,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,9
2012,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,240
2012,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,292
2013,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,60
2013,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,96
2013,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,300
2013,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,410
2013,Diabetes Mellitus (E10-E14),M,Hispanic,192
2013,Diabetes Mellitus (E10-E14),F,Hispanic,221
2013,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,15
2013,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,19
2013,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,10
2013,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,17
2013,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,238
2013,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,265
2014,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,50
2014,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,71
2014,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,318
2014,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,398
2014,Diabetes Mellitus (E10-E14),M,Hispanic,186
2014,Diabetes Mellitus (E10-E14),F,Hispanic,209
2014,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,8
2014,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,9
2014,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,11
2014,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,18
2014,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,228
2014,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,292
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,428
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,496
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2121
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2722
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1418
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1327
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,82
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,86
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,36
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,43
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5632
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,7050
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,456
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,546
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2077
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2725
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1330
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1445
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,92
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,108
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,35
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,39
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5503
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,6836
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,448
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,554
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2535
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2068
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1349
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1382
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,94
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,111
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,38
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,40
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5168
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,6297
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,394
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,478
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2282
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2015
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1316
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1354
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,70
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,70
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,50
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,52
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4495
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,5351
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,402
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,452
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2243
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1840
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1201
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1348
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,43
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,62
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,31
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,42
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4220
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,5016
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,402
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,469
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2269
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1940
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1263
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1251
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,76
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,99
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,39
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,48
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4156
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4719
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,437
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,531
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1868
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2365
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1261
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1307
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,106
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,151
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,41
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,72
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4085
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4535
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,462
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,554
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2194
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1958
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1230
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1281
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,95
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,115
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,63
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,68
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,3990
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4507
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,22
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,25
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,166
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,137
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,78
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,123
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,155
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,32
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,31
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,134
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,192
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,104
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,151
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,165
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,18
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,26
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,131
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,227
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,84
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,148
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,215
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,30
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,33
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,178
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,252
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,95
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,153
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,219
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,37
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,46
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,154
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,225
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,83
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,142
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,39
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,39
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,143
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,214
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,101
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,153
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,33
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,50
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,148
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,240
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,103
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,7
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,15
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,5
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,8
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,156
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,206
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,29
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,155
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,207
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,116
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,9
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,180
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,175
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,248
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,377
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,109
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,218
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,5
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,6
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,227
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,356
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,113
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,222
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,9
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,208
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,329
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,96
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,196
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,8
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,152
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,297
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,79
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,189
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,8
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,144
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,277
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,70
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,162
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,10
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,136
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,223
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,103
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,9
2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,107
2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,204
2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,122
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,102
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,196
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,92
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,7
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,10
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,10
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,58
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,66
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,229
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,295
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,190
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,189
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,13
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,7
2007,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,530
2007,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,659
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,73
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,90
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,222
